Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Ano
CO,DF,1,1643.2409746394828,0.21983050847457627,23.194154193730583,21.651341428974863,2021
CO,DF,2,1279.2640237324704,0.7996365838885524,21.88842073355562,20.645559260381933,2021
CO,DF,3,1533.8688279301746,0.14620390455531454,22.633975054229936,21.17193600867679,2021
CO,DF,4,1423.9801092896175,0.13831619894415115,21.817838288413448,20.370352875798833,2021
CO,DF,5,1481.6815252416757,0.001881720430107527,21.164301075268817,19.49991935483871,2021
CO,DF,6,1477.9360155382908,0.024555555555555556,20.55655555555556,18.89311111111111,2021
CO,DF,7,1607.6827419354838,0.0,19.79766129032258,17.976370967741936,2021
CO,DF,8,1718.6468245425187,0.006243272335844994,22.047819063004848,20.349057619816907,2021
CO,DF,9,1785.6062983425413,0.01770108544391873,25.91940963519911,23.977081592871066,2021
CO,DF,10,1472.6490785645005,0.21444720154397573,24.144582299421007,22.660104769782187,2021
CO,DF,11,1228.090616113744,0.34274170274170274,22.324300144300143,21.15832611832612,2021
CO,DF,12,1252.1306636155607,0.5392788329204514,22.161259279626066,20.966730822106133,2021
CO,GO,1,1552.6787381909003,0.2783583347379066,25.22877372052904,23.765260207015526,2021
CO,GO,2,1324.0121212121212,0.4664955482473731,24.138299669764226,22.825566392750172,2021
CO,GO,3,1469.2762148059571,0.17552380952380953,24.56727714186611,23.12438432188692,2021
CO,GO,4,1461.4916331917823,0.11409958816922501,24.061670496983627,22.568500430910657,2021
CO,GO,5,1398.342122905028,0.011078918322295805,23.398094580600624,21.75868139454608,2021
CO,GO,6,1329.0967952322053,0.009550449550449551,22.474969899665552,20.785090301003343,2021
CO,GO,7,1445.2132075471698,0.0,21.802019918642166,19.908976786590923,2021
CO,GO,8,1506.4700878025628,0.0013831258644536654,24.784469166728062,22.970050836218963,2021
CO,GO,9,1481.9465554177473,0.0317750389573594,28.542856116142016,26.627950265919218,2021
CO,GO,10,1306.2730125120308,0.26049239681390296,26.33124599410332,24.892071529291115,2021
CO,GO,11,1172.537406669985,0.3818983522859132,24.715893271461717,23.529974588443263,2021
CO,GO,12,1205.6185040966984,0.39068741159830267,24.643382193268184,23.440602605863194,2021
CO,MS,1,1220.0918052357806,0.4119379354021533,25.892249972614746,24.69610033957717,2021
CO,MS,2,1539.119737106161,0.12532090733251275,26.222618312121586,24.753830470777213,2021
CO,MS,3,1413.436623350858,0.13558955596208214,26.63614364244742,25.16523661567878,2021
CO,MS,4,1402.1658106469745,0.0332520325203252,24.835245317259705,23.278896882494003,2021
CO,MS,5,1142.351614385844,0.040955631399317405,22.622861279284024,21.107758620689655,2021
CO,MS,6,1016.5871902874133,0.06047708601405523,20.437210306607167,19.119029797034692,2021
CO,MS,7,1257.9742889221557,0.009588060922007563,19.69978561395727,17.822495749242258,2021
CO,MS,8,1238.7964693035672,0.027641472101305894,24.2178744682439,22.46431718061674,2021
CO,MS,9,1347.8200931857891,0.036076061844677446,28.10550452079566,26.371405808647786,2021
CO,MS,10,1275.8315688978466,0.24692679913517968,25.615658434829417,24.338752439270575,2021
CO,MS,11,1555.891734716398,0.18243522685804647,27.07111712738672,25.697306925049872,2021
CO,MS,12,1643.1556819586992,0.15066445182724253,27.49422860148794,26.076441366852325,2021
CO,MT,1,1276.1552713783678,0.3044328824141519,25.711293998480627,24.461547227146113,2021
CO,MT,2,1299.8697507190795,0.4106687483736664,25.853686142551236,24.659513612725604,2021
CO,MT,3,1321.4347793936406,0.3055992141453831,25.449185816466294,24.274174402678437,2021
CO,MT,4,1304.1430343511452,0.1070220399794977,25.677261659486796,24.42734594493351,2021
CO,MT,5,1193.941275057509,0.04975458537845518,24.66205223880597,23.304514925373134,2021
CO,MT,6,1136.499765716517,0.012116182572614107,23.97169139465875,22.544154302670623,2021
CO,MT,7,1272.133231707317,0.0,23.519849682019657,21.689670456735403,2021
CO,MT,8,1448.5037624660017,0.0033602150537634413,26.870694474306603,25.06018060632122,2021
CO,MT,9,1397.7404,0.06519182301876225,29.31044957472661,27.734599027946537,2021
CO,MT,10,1313.8637532133675,0.17403160830492717,27.41930874044533,26.14130940511798,2021
CO,MT,11,1190.4743753062226,0.36135624709707387,25.842350746268657,24.705597014925374,2021
CO,MT,12,1147.7398148148147,0.27725210628645497,26.75498687664042,25.517060367454068,2021
